Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
actin binding (GO:0003779)	7/177	0.024448996065548644	0.732973103540214	0	0	2.558317721993256	9.494342065871331	PDLIM1;DMTN;SPATA32;MAP1S;TPM2;PHACTR3;EZR
calcium-dependent phospholipid binding (GO:0005544)	3/50	0.04616288259537571	0.732973103540214	0	0	3.9405861099959854	12.119584718370708	ANXA13;ESYT3;CPNE2
bHLH transcription factor binding (GO:0043425)	2/22	0.04803269955343955	0.732973103540214	0	0	6.162695924764891	18.709163763293738	TCF21;TWIST1
protein kinase A regulatory subunit binding (GO:0034237)	2/22	0.04803269955343955	0.732973103540214	0	0	6.162695924764891	18.709163763293738	AKAP5;EZR
acetylgalactosaminyltransferase activity (GO:0008376)	2/27	0.06929525642305559	0.732973103540214	0	0	4.928902821316615	13.157108821768604	B3GNT7;B4GALNT3
5'-deoxyribose-5-phosphate lyase activity (GO:0051575)	1/5	0.07772222835285386	0.732973103540214	0	0	15.37109375	39.267211032889	POLQ
beta-2 adrenergic receptor binding (GO:0031698)	1/5	0.07772222835285386	0.732973103540214	0	0	15.37109375	39.267211032889	AKAP5
Y-form DNA binding (GO:0000403)	1/5	0.07772222835285386	0.732973103540214	0	0	15.37109375	39.267211032889	RAD18
creatine kinase activity (GO:0004111)	1/5	0.07772222835285386	0.732973103540214	0	0	15.37109375	39.267211032889	CKMT2
oxo-acid-lyase activity (GO:0016833)	1/5	0.07772222835285386	0.732973103540214	0	0	15.37109375	39.267211032889	CLYBL
phosphotransferase activity, nitrogenous group as acceptor (GO:0016775)	1/5	0.07772222835285386	0.732973103540214	0	0	15.37109375	39.267211032889	CKMT2
procollagen-proline 4-dioxygenase activity (GO:0004656)	1/5	0.07772222835285386	0.732973103540214	0	0	15.37109375	39.267211032889	P4HA2
glutamate-gated calcium ion channel activity (GO:0022849)	1/5	0.07772222835285386	0.732973103540214	0	0	15.37109375	39.267211032889	GRIN2A
histone acetyltransferase activity (H3-K23 specific) (GO:0043994)	1/5	0.07772222835285386	0.732973103540214	0	0	15.37109375	39.267211032889	PHF14
alkaline phosphatase activity (GO:0004035)	1/6	0.09252846171602361	0.732973103540214	0	0	12.29625	29.268013650841652	CILP
alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity (GO:0003828)	1/6	0.09252846171602361	0.732973103540214	0	0	12.29625	29.268013650841652	ST8SIA1
amidine-lyase activity (GO:0016842)	1/6	0.09252846171602361	0.732973103540214	0	0	12.29625	29.268013650841652	GGACT
melanocortin receptor activity (GO:0004977)	1/6	0.09252846171602361	0.732973103540214	0	0	12.29625	29.268013650841652	MC3R
collagen receptor activity (GO:0038064)	1/6	0.09252846171602361	0.732973103540214	0	0	12.29625	29.268013650841652	DDR2
protein phosphatase 2B binding (GO:0030346)	1/6	0.09252846171602361	0.732973103540214	0	0	12.29625	29.268013650841652	AKAP5
histone threonine kinase activity (GO:0035184)	1/7	0.10709772648114907	0.732973103540214	0	0	10.246354166666666	22.890493838986927	PRKCA
catalytic activity, acting on a tRNA (GO:0140101)	2/35	0.1081937320451921	0.732973103540214	0	0	3.7324973876698015	8.300446546815687	QTRT2;TRIT1
tRNA-specific adenosine deaminase activity (GO:0008251)	1/8	0.1214338030155473	0.732973103540214	0	0	8.782142857142857	18.51614701332326	ADAT1
NMDA glutamate receptor activity (GO:0004972)	1/8	0.1214338030155473	0.732973103540214	0	0	8.782142857142857	18.51614701332326	GRIN2A
peptidyl-proline 4-dioxygenase activity (GO:0031545)	1/8	0.1214338030155473	0.732973103540214	0	0	8.782142857142857	18.51614701332326	P4HA2
procollagen-proline dioxygenase activity (GO:0019798)	1/8	0.1214338030155473	0.732973103540214	0	0	8.782142857142857	18.51614701332326	P4HA2
retinal dehydrogenase activity (GO:0001758)	1/8	0.1214338030155473	0.732973103540214	0	0	8.782142857142857	18.51614701332326	ALDH1A1
