Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TGF-beta signaling pathway Homo sapiens P00052	4/88	1.9775330390830874E-6	2.9662995586246312E-5	0	0	55.72829131652661	731.9164544922152	FOSL1;JUN;JUND;JUNB
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	3/188	9.596184918716641E-4	0.007197138689037481	0	0	17.832432432432434	123.91712282511412	JUN;JUND;JUNB
B cell activation Homo sapiens P00010	2/57	0.0016185198561994832	0.008092599280997415	0	0	38.13205741626794	245.0458752986846	JUN;FOS
T cell activation Homo sapiens P00053	2/73	0.002638278864357178	0.009893545741339417	0	0	29.515196441808747	175.25027215896412	JUN;FOS
Interleukin signaling pathway Homo sapiens P00036	2/86	0.0036393011944989987	0.010917903583496997	0	0	24.93107769423559	140.0120247223521	SPI1;FOS
Apoptosis signaling pathway Homo sapiens P00006	2/102	0.00507735361368677	0.012693384034216926	0	0	20.925263157894737	110.54743487347888	JUN;FOS
PDGF signaling pathway Homo sapiens P00047	2/112	0.006088606177572823	0.013047013237656047	0	0	19.013397129186604	96.99372904720285	JUN;FOS
Huntington disease Homo sapiens P00029	2/124	0.007413417213315653	0.01390015727496685	0	0	17.132873166522863	84.0275559539848	JUN;FOS
Angiogenesis Homo sapiens P00005	2/142	0.009622201585965847	0.016037002643276413	0	0	14.916541353383458	69.26767735045708	JUN;FOS
CCKR signaling map ST Homo sapiens P06959	2/165	0.01281763391999911	0.019226450879998663	0	0	12.796900226025185	55.7552420898831	JUN;FOS
Oxidative stress response Homo sapiens P00046	1/24	0.0249120249496479	0.033970943113156224	0	0	43.38260869565217	160.18614661402282	JUN
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade Homo sapiens P00032	1/29	0.030027115673516156	0.03699921751892197	0	0	35.62678571428572	124.89519987020886	FOS
FAS signaling pathway Homo sapiens P00020	1/31	0.032065988516399045	0.03699921751892197	0	0	33.248333333333335	114.37291539918965	JUN
Toll receptor signaling pathway Homo sapiens P00054	1/49	0.0502330909367498	0.053821168860803355	0	0	20.761458333333334	62.09920952085082	JUN
Ras Pathway Homo sapiens P04393	1/69	0.07003780282860121	0.07003780282860121	0	0	14.640441176470588	38.92483584794597	JUN
