Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TGF-beta signaling pathway Homo sapiens P00052	4/88	1.606245377057105E-6	2.4093680655856576E-5	0	0	59.214285714285715	790.0139754963374	FOSL1;JUN;JUND;JUNB
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	3/188	8.282338460568783E-4	0.006211753845426587	0	0	18.88235294117647	133.9932365669352	JUN;JUND;JUNB
B cell activation Homo sapiens P00010	2/57	0.0014670547641947606	0.007335273820973803	0	0	40.25252525252525	262.62753860977597	JUN;FOS
T cell activation Homo sapiens P00053	2/73	0.0023926495225994084	0.008972435709747782	0	0	31.156494522691705	188.04047198052453	JUN;FOS
Interleukin signaling pathway Homo sapiens P00036	2/86	0.0033018930995042783	0.009905679298512835	0	0	26.317460317460316	150.3584751342039	SPI1;FOS
Apoptosis signaling pathway Homo sapiens P00006	2/102	0.004609052918383906	0.011522632295959765	0	0	22.08888888888889	118.83232192165295	JUN;FOS
PDGF signaling pathway Homo sapiens P00047	2/112	0.005528855418101213	0.0118475473245026	0	0	20.07070707070707	104.3230086404988	JUN;FOS
Huntington disease Homo sapiens P00029	2/124	0.006734529108868724	0.012627242079128858	0	0	18.0856102003643	90.43722743397821	JUN;FOS
Angiogenesis Homo sapiens P00005	2/142	0.008746210464336586	0.014577017440560976	0	0	15.746031746031745	74.62256641453148	JUN;FOS
CCKR signaling map ST Homo sapiens P06959	2/165	0.011659514449534536	0.017489271674301803	0	0	13.50852079072938	60.13497343899989	JUN;FOS
Oxidative stress response Homo sapiens P00046	1/24	0.023739343866497245	0.032371832545223515	0	0	45.66819221967963	170.827422984315	JUN
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade Homo sapiens P00032	1/29	0.028617205427454835	0.035263684739329	0	0	37.50375939849624	133.2788782141628	FOS
FAS signaling pathway Homo sapiens P00020	1/31	0.030561860107418466	0.035263684739329	0	0	35.0	122.08008572013848	JUN
Toll receptor signaling pathway Homo sapiens P00054	1/49	0.04789811206941787	0.051319405788661995	0	0	21.855263157894736	66.41113333547993	JUN
Ras Pathway Homo sapiens P04393	1/69	0.06681509876037244	0.06681509876037244	0	0	15.411764705882353	41.70155664670343	JUN
