Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Wnt signaling WP428	5/115	0.03801164719008733	0.8341525775475531	0	0	2.814873417721519	9.204249484658513	VANGL1;INVS;PRICKLE2;PRKCA;WNT2
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease WP3668	2/25	0.0604658171892837	0.8341525775475531	0	0	5.358048248602971	15.032953157977824	SMAD2;LTBP2
AGE/RAGE pathway WP2324	3/66	0.08972825832723362	0.8341525775475531	0	0	2.9374064091045224	7.081997343734121	SMAD2;PRKCA;EZR
Cellular Proteostasis WP4918	1/6	0.09252846171602361	0.8341525775475531	0	0	12.29625	29.268013650841652	VBP1
Circadian rhythm related genes WP3594	6/201	0.10569072825541824	0.8341525775475531	0	0	1.9031990231990232	4.276941371087844	UTS2R;MC3R;GFPT1;HNF1B;NR1D2;AVP
LDLRAD4 and what we know about it WP4904	1/7	0.10709772648114907	0.8341525775475531	0	0	10.246354166666666	22.890493838986927	SMAD2
Wnt signaling in kidney disease WP4150	2/36	0.11339424184208853	0.8341525775475531	0	0	3.6225336529596164	7.885837962588997	INVS;WNT2
16p11.2 proximal deletion syndrome WP4949	3/74	0.11610084885929536	0.8341525775475531	0	0	2.6053680574010096	5.6101288219768275	PPP4R2;EZR;MAP2K6
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling WP3850	2/37	0.11865786595966217	0.8341525775475531	0	0	3.5188535602328708	7.500475080912522	SMAD2;PLD1
EGF/EGFR signaling pathway WP437	5/162	0.1201667255522539	0.8341525775475531	0	0	1.9674675481738289	4.168818038989358	SH3GL3;LIMK2;TWIST1;PRKCA;PLD1
Sleep regulation WP3591	2/38	0.12398125529935937	0.8341525775475531	0	0	3.4209334726576106	7.141625870522405	UTS2R;GRIN2A
Fragile X Syndrome  WP4549	4/121	0.130494315529921	0.8341525775475531	0	0	2.1097360403354095	4.296320507785866	SH3GL3;GRIN2A;PRKCA;AKAP5
