Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TGF-beta Signaling Pathway WP366	7/132	5.0009471663491355E-11	6.451221844590385E-9	0	0	79.416	1883.6529113356837	JUN;JUND;TFDP1;FOSB;FOS;E2F4;JUNB
Corticotropin-releasing hormone signaling pathway WP2355	6/93	4.402020066122578E-10	2.839302942649063E-8	0	0	91.45747126436781	1970.3403160035512	FOSL1;JUND;FOSB;FOS;JUNB;FOSL2
Aryl Hydrocarbon Receptor Pathway WP2873	4/46	1.4239693659786156E-7	6.123068273708047E-6	0	0	111.69187675070027	1760.7830489299954	JUN;JUND;JUNB;NFE2L2
Photodynamic therapy-induced AP-1 survival signaling. WP3611	4/50	2.0041671606395947E-7	6.463439093062693E-6	0	0	101.95907928388746	1572.501325123093	JUN;FOS;JUNB;NFE2L2
Hematopoietic Stem Cell Differentiation WP2849	4/55	2.9579343214123463E-7	7.631470549243853E-6	0	0	91.94002306805075	1382.1899436645444	NFE2;SPI1;FOSB;FOS
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling WP3612	3/24	1.9906452422317635E-6	4.279887270798292E-5	0	0	158.3968253968254	2079.2833207656636	JUN;FOS;NFE2L2
Oxidative Stress WP408	3/33	5.333638164713457E-6	9.829133189257656E-5	0	0	110.82777777777778	1345.6129115409226	FOS;JUNB;NFE2L2
Host-pathogen interaction of human coronaviruses - MAPK signaling WP4877	3/36	6.965767594826836E-6	1.1232300246658273E-4	0	0	100.73737373737374	1196.206221408139	JUN;FOS;JUNB
Integrated breast cancer pathway WP1984	4/152	1.735298797079192E-5	2.487261609146842E-4	0	0	31.527821939586644	345.59997127624234	FOSL1;JUN;BACH1;FOSL2
EGF/EGFR signaling pathway WP437	4/162	2.229331943229815E-5	2.8758382067664616E-4	0	0	29.517498138495906	316.1685197638051	JUN;JUND;FOSB;FOS
RANKL/RANK signaling pathway WP2018	3/55	2.5268906642596678E-5	2.963353597177247E-4	0	0	63.868589743589745	676.1087973372528	JUN;SPI1;FOS
Oncostatin M Signaling Pathway WP2374	3/65	4.178862742903583E-5	4.492277448621352E-4	0	0	53.54032258064516	539.8409864662485	JUND;FOS;JUNB
Ethanol metabolism resulting in production of ROS by CYP2E1 WP4269	2/10	4.701125562718392E-5	4.6649630583897887E-4	0	0	262.7763157894737	2618.5984406357375	MAFK;NFE2L2
Neuroinflammation WP4919	2/13	8.133190135805304E-5	7.49415376799203E-4	0	0	191.08133971291866	1799.4076693173633	JUN;FOS
Phytochemical activity on NRF2 transcriptional activation WP3	2/15	1.0934695002572602E-4	9.403837702212437E-4	0	0	161.66801619433198	1474.5715026865741	MAF;NFE2L2
MAPK pathway in congenital thyroid cancer WP4928	2/16	1.248889732037253E-4	0.0010069173464550352	0	0	150.11278195488723	1349.2265083047014	JUN;FOS
Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway WP3670	2/18	1.590322318968525E-4	0.0012067739949819984	0	0	131.33552631578948	1148.7135280506445	NRF1;NFE2L2
Cancer immunotherapy by PD-1 blockade WP4585	2/23	2.621447565712824E-4	0.0016908336798847716	0	0	100.04010025062657	824.9920613543376	JUN;BATF
NRF2-ARE regulation WP4357	2/23	2.621447565712824E-4	0.0016908336798847716	0	0	100.04010025062657	824.9920613543376	MAF;NFE2L2
Estrogen signaling pathway WP712	2/23	2.621447565712824E-4	0.0016908336798847716	0	0	100.04010025062657	824.9920613543376	JUN;FOS
Nuclear Receptors Meta-Pathway WP2882	4/319	3.0673543263125556E-4	0.0018203699642933215	0	0	14.688328664799252	118.82160142633788	JUN;JUND;JUNB;NFE2L2
Physiological and pathological hypertrophy of the heart WP1528	2/25	3.1045069158490754E-4	0.0018203699642933215	0	0	91.33180778032036	737.731350520009	JUN;FOS
PDGFR-beta pathway WP3972	2/29	4.1908183650283946E-4	0.0023505024742985344	0	0	77.78557504873294	604.9729806503166	JUN;FOS
Prion disease pathway WP3995	2/33	5.436359670051372E-4	0.002757963027467763	0	0	67.73514431239389	509.18070720221294	SPI1;BATF
Host-pathogen interaction of human coronaviruses - interferon induction WP4880	2/33	5.436359670051372E-4	0.002757963027467763	0	0	67.73514431239389	509.18070720221294	JUN;FOS
Signaling of Hepatocyte Growth Factor Receptor WP313	2/34	5.772480755165086E-4	0.002757963027467763	0	0	65.61513157894737	489.3076816935412	JUN;FOS
CAMKK2  Pathway WP4874	2/34	5.772480755165086E-4	0.002757963027467763	0	0	65.61513157894737	489.3076816935412	MAF;NFE2L2
IL-5 signaling pathway WP127	2/40	7.995517676019706E-4	0.0034380726006884733	0	0	55.2382271468144	393.92916747621626	JUN;FOS
Neural Crest Cell Migration during Development WP4564	2/40	7.995517676019706E-4	0.0034380726006884733	0	0	55.2382271468144	393.92916747621626	JUN;FOS
PDGF Pathway WP2526	2/40	7.995517676019706E-4	0.0034380726006884733	0	0	55.2382271468144	393.92916747621626	JUN;FOS
IL-2 signaling pathway WP49	2/42	8.814668270081026E-4	0.003668039376904685	0	0	52.47105263157895	369.07735387066833	JUN;FOS
Neural Crest Cell Migration in Cancer WP4565	2/43	9.238809256518343E-4	0.003724394981533957	0	0	51.18870346598203	357.6517529213759	JUN;FOS
IL-3 signaling pathway WP286	2/49	0.0011986387553308729	0.0046855878617479575	0	0	44.640537513997764	300.277644028063	JUN;FOS
TGF-beta Receptor Signaling WP560	2/54	0.0014539455822740845	0.0055164405915693205	0	0	40.33805668016194	263.5476577125423	JUN;FOS
TGF-beta receptor signaling in skeletal dysplasias WP4816	2/58	0.001675265171230403	0.006174548773963485	0	0	37.44924812030075	239.36749802122998	JUN;FOS
Kit receptor signaling pathway WP304	2/59	0.0017329510145279085	0.006209741135391672	0	0	36.79039704524469	233.9107519758831	FOS;JUNB
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection WP3863	2/62	0.0019116332618349895	0.006664883534505774	0	0	34.94561403508772	218.75246008365062	JUN;FOS
MAPK Signaling Pathway WP382	3/246	0.0020753510596554915	0.007045270702514695	0	0	13.536351165980795	83.6225007522316	JUN;JUND;FOS
Thyroid stimulating hormone (TSH) signaling pathway WP2032	2/66	0.0021629319253039987	0.007154313291390149	0	0	32.754934210526315	200.99379505878943	JUN;FOS
Chromosomal and microsatellite instability in colorectal cancer  WP4216	2/73	0.002638278864357178	0.0085084493375519	0	0	29.515196441808747	175.25027215896412	JUN;FOS
Prolactin Signaling Pathway WP2037	2/76	0.0028557317273821825	0.008985107142251257	0	0	28.314366998577526	165.87765697979108	JUN;FOS
ncRNAs involved in Wnt signaling in hepatocellular carcinoma WP4336	2/86	0.0036393011944989987	0.011177853668818355	0	0	24.93107769423559	140.0120247223521	FOSL1;JUN
Apoptosis Modulation and Signaling WP1772	2/90	0.0039777426164745834	0.01166201812557321	0	0	23.79306220095694	131.50522559836216	JUN;FOS
T-cell receptor (TCR) signaling pathway WP69	2/90	0.0039777426164745834	0.01166201812557321	0	0	23.79306220095694	131.50522559836216	JUN;FOS
LncRNA involvement in canonical Wnt signaling and colorectal cancer WP4258	2/94	0.004330306963859603	0.012413546629730862	0	0	22.75400457665904	123.82995164640379	FOSL1;JUN
Wnt signaling pathway and pluripotency WP399	2/102	0.00507735361368677	0.014202708184504486	0	0	20.925263157894737	110.54743487347888	FOSL1;JUN
Toll-like Receptor Signaling Pathway WP75	2/103	0.005174630113734193	0.014202708184504486	0	0	20.71704012506514	109.05423855638092	JUN;FOS
