;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;sig
Aarsd1;907.2594248;0.146502112;0.077907362;1.880465569;0.060044655;0.999862907;Pval<0.1
Aatk;59.93194159;-0.49567034;0.209642752;-2.364357152;0.018061391;0.840626502;Pval<0.1
Abca2;426.4268045;-0.228513321;0.13149033;-1.737871676;0.082233427;0.999862907;Pval<0.1
Abca8a;748.6327739;-0.337866318;0.175903944;-1.920743278;0.054764081;0.999862907;Pval<0.1
Abcd2;98.87756532;0.494695365;0.255354542;1.937288289;0.052710113;0.999862907;Pval<0.1
Abcg3l3;223.2717453;-0.441453731;0.182519726;-2.41866312;0.015577659;0.789061875;Pval<0.1
Abhd12;654.9116457;-0.224131174;0.094517044;-2.371330758;0.017724162;0.837332373;Pval<0.1
Abhd15;23.5336218;-0.662628551;0.383931709;-1.72590212;0.084365023;0.999862907;Pval<0.1
Abhd8;618.0464041;-0.224441909;0.131777166;-1.703192709;0.088532011;0.999862907;Pval<0.1
Acbd5;186.1289409;0.231863133;0.13977633;1.658815431;0.09715299;0.999862907;Pval<0.1
Ace;988.677959;-0.283487123;0.16536445;-1.71431721;0.086470484;0.999862907;Pval<0.1
Acer2;3254.949651;-0.257366067;0.141263081;-1.821891932;0.068471385;0.999862907;Pval<0.1
Acin1;1657.885102;-0.270390069;0.126831961;-2.131876438;0.033017006;0.945431849;Pval<0.1
Ackr3;1916.670744;0.14728036;0.087674225;1.67985928;0.092984698;0.999862907;Pval<0.1
Acot7;284.5219222;0.427910774;0.176747047;2.421034926;0.01547639;0.78677258;Pval<0.1
Acp5;85.48315343;0.525776203;0.196966118;2.669373837;0.007599282;0.616369959;Pval<0.1
Acp6;1226.84448;-0.288414944;0.115705886;-2.492655762;0.01267917;0.745421633;Pval<0.1
Acsf2;405.2188778;-0.427303498;0.145451747;-2.937768077;0.003305842;0.427017966;Pval<0.1
Acsl6;176.6285649;-0.971690469;0.211579703;-4.592550491;4.38E-06;0.004388311;Pval<0.1
Acss3;171.1068486;-0.417524023;0.202882544;-2.057959325;0.039594038;0.981526411;Pval<0.1
Acy1;371.0035687;-0.182009747;0.105445224;-1.726107076;0.084328151;0.999862907;Pval<0.1
Adam19;562.8488717;0.300845709;0.177421386;1.695656398;0.08995097;0.999862907;Pval<0.1
Adamts19;2457.672703;-0.313627207;0.136983192;-2.289530589;0.022048543;0.888974434;Pval<0.1
Adamts2;2629.670287;-0.29949787;0.082623017;-3.624872111;0.000289104;0.084508853;Pval<0.1
Adamts20;7.369623596;-1.18221146;0.676203997;-1.748305934;0.080411066;0.999862907;Pval<0.1
Adamts7;439.3289391;0.282813629;0.109326625;2.586868736;0.009685248;0.676088135;Pval<0.1
Adcy5;64.36657858;0.636469401;0.386723074;1.645801463;0.099804641;0.999862907;Pval<0.1
Adcy8;9.472961342;-1.408470885;0.599960487;-2.347606078;0.018894492;0.844311263;Pval<0.1
Adcyap1r1;108.9253126;-1.11071646;0.351486347;-3.160055775;0.001577389;0.283748085;Pval<0.1
Add3;1933.818335;-0.156998708;0.086426317;-1.816561364;0.069284304;0.999862907;Pval<0.1
Adgra2;202.7137624;-0.339092811;0.203900281;-1.66303258;0.096305914;0.999862907;Pval<0.1
Adgrd1;20.497303;1.412206424;0.563739141;2.505070735;0.012242691;0.745421633;Pval<0.1
Adgrl4;113.7599693;0.432893399;0.243283688;1.779377002;0.075177974;0.999862907;Pval<0.1
Adh1;97.18485461;0.962737804;0.307537381;3.130474094;0.001745244;0.291518065;Pval<0.1
Adh7;35.76049886;1.625621058;0.45896155;3.541954782;0.000397174;0.107168118;Pval<0.1
Adm;101.0785552;-1.110695026;0.249447597;-4.452618656;8.48E-06;0.007439002;Pval<0.1
Aen;295.9410559;0.321958168;0.12929769;2.490053511;0.012772386;0.745421633;Pval<0.1
Ager;60.29248627;-0.484377403;0.28583046;-1.694631854;0.09014528;0.999862907;Pval<0.1
Agl;413.7392246;0.351852843;0.132959267;2.646320568;0.008137266;0.637843477;Pval<0.1
Ahnak;9839.786883;0.162546239;0.075984269;2.139209075;0.03241874;0.945431849;Pval<0.1
Aifm2;223.079042;0.326018748;0.143784203;2.267417007;0.023364764;0.896926021;Pval<0.1
Akap10;177.3538217;-0.389441087;0.192952638;-2.018324761;0.04355745;0.98354327;Pval<0.1
Akip1;465.4398592;0.182096343;0.0946308;1.924281979;0.054319248;0.999862907;Pval<0.1
Akr1c14;284.4791532;-0.496329452;0.285117;-1.740792209;0.081720008;0.999862907;Pval<0.1
Akr1c19;366.2608391;-0.41136591;0.19295688;-2.131905892;0.033014584;0.945431849;Pval<0.1
Akr1c3;1.730113673;2.705550324;1.556271382;1.738482346;0.082125858;0.999862907;Pval<0.1
Alcam;196.5761929;0.41550337;0.208910927;1.98890204;0.046712017;0.995982922;Pval<0.1
Aldh1a1;2906.297485;-0.658102036;0.34120648;-1.92875011;0.053761892;0.999862907;Pval<0.1
Aldh1l1;15.99683173;-1.240296825;0.618592886;-2.005029241;0.044959921;0.983784132;Pval<0.1
Aldh3a1;779.6902541;-0.453416541;0.14882368;-3.046669331;0.002313921;0.341753963;Pval<0.1
Alpl;1553.76016;0.575488646;0.159562085;3.606675397;0.000310145;0.088809141;Pval<0.1
Ambn;1.071297135;-3.139239851;1.638327262;-1.916125015;0.055349185;0.999862907;Pval<0.1
Amhr2;14.39717806;0.866786062;0.472842797;1.833137921;0.066782063;0.999862907;Pval<0.1
Ampd1;1.264033166;3.448145778;1.571815873;2.193733909;0.028254545;0.925578554;Pval<0.1
Angpt1;158.0187312;0.591448831;0.210137349;2.814582152;0.004884069;0.492831531;Pval<0.1
Angpt2;99.45710943;0.682674907;0.246133197;2.77359948;0.005543989;0.529168065;Pval<0.1
Angpt4;76.75713327;-1.108244805;0.294972546;-3.757111699;0.000171886;0.066206225;Pval<0.1
Angptl1;600.0245136;-0.604954524;0.203670483;-2.970261154;0.002975467;0.40143053;Pval<0.1
Angptl4;110.6333485;1.464142778;0.355147292;4.122635349;3.75E-05;0.019464759;Pval<0.1
Ankdd1b;4.754383057;-1.467385138;0.811326287;-1.808625162;0.070509257;0.999862907;Pval<0.1
Ankrd12;731.6188719;0.301080151;0.15090086;1.995218249;0.046019082;0.990327811;Pval<0.1
Ankrd39;332.3540475;0.366063275;0.148024636;2.472988846;0.013398832;0.755346566;Pval<0.1
Ankrd40;577.1049304;0.211965633;0.109438267;1.936851145;0.052763542;0.999862907;Pval<0.1
Ankrd49;323.1726635;0.289919158;0.132582451;2.186708394;0.028763818;0.925578554;Pval<0.1
Ankrd52;117.325951;-0.419199862;0.200082943;-2.095130427;0.0361594;0.962718289;Pval<0.1
Ano4;10.14358372;1.438542346;0.61522896;2.338222741;0.019375696;0.844925863;Pval<0.1
Ano5;1.484968477;-3.611387061;1.935710762;-1.865664608;0.062088304;0.999862907;Pval<0.1
Anxa6;13991.48602;-0.188429429;0.104384495;-1.805147685;0.071051575;0.999862907;Pval<0.1
Aoc1;5.56818158;1.20990946;0.710798102;1.702184428;0.088720801;0.999862907;Pval<0.1
Ap3s1;409.6617083;0.312952444;0.157147366;1.991458413;0.046430513;0.994605385;Pval<0.1
Apba2;24.99361998;-0.88078165;0.381076497;-2.311298801;0.020816356;0.859042042;Pval<0.1
Apc2;390.3808502;-0.464287352;0.222313444;-2.088435785;0.036758542;0.96765311;Pval<0.1
Api5;1579.296856;0.180191114;0.08187057;2.200926586;0.027741221;0.925290456;Pval<0.1
Aplp1;163.1395563;0.274644544;0.146280344;1.877521863;0.060446604;0.999862907;Pval<0.1
Apoe;80513.65281;-0.55130823;0.201776096;-2.732277221;0.006289819;0.551577838;Pval<0.1
Apom;35.11196066;0.550390321;0.331810826;1.65874733;0.097166718;0.999862907;Pval<0.1
Apoo;192.6868454;0.312392325;0.145411905;2.148327027;0.031687785;0.943973068;Pval<0.1
App;9941.2347;-0.133297825;0.075023843;-1.77673951;0.075611108;0.999862907;Pval<0.1
Aprt;1752.109025;-0.151817035;0.089630218;-1.693815305;0.090300385;0.999862907;Pval<0.1
Arf6;347.1869525;0.205926295;0.122682738;1.678527051;0.093244254;0.999862907;Pval<0.1
Arhgap24;166.9646674;0.296500482;0.171284315;1.731042814;0.083444129;0.999862907;Pval<0.1
Arhgap5;509.5192336;0.236943225;0.109247495;2.168866439;0.030092825;0.930016963;Pval<0.1
Arhgef10;728.1512967;-0.257166628;0.137347679;-1.872376951;0.061154472;0.999862907;Pval<0.1
Arhgef28;145.9156215;-0.330094049;0.169823049;-1.943752925;0.051925253;0.999862907;Pval<0.1
Arl2;651.1939325;-0.183983974;0.107327779;-1.714225112;0.086487391;0.999862907;Pval<0.1
Arl5a;174.040056;0.231155937;0.130768668;1.767670653;0.077115979;0.999862907;Pval<0.1
Arl5b;307.7461891;0.283032868;0.127173987;2.225556306;0.026043916;0.919371398;Pval<0.1
Armc3;14.76982238;0.769672037;0.406233418;1.894654653;0.058138169;0.999862907;Pval<0.1
Arnt2;155.9168689;-0.448533983;0.160322706;-2.797694685;0.005146874;0.501936363;Pval<0.1
Arpc5;2564.024699;0.127925249;0.068564533;1.865764182;0.062074366;0.999862907;Pval<0.1
Arsg;652.7615601;0.157141509;0.091184764;1.723330762;0.084828728;0.999862907;Pval<0.1
Art1;1.684083325;3.280120134;1.597161106;2.053719015;0.040002895;0.98354327;Pval<0.1
Arxes2;2.529699122;-3.563691647;1.68326905;-2.117125392;0.034249207;0.949312254;Pval<0.1
Asgr1;13.14359235;-1.018652759;0.593843104;-1.715356719;0.086279845;0.999862907;Pval<0.1
Asph;1487.311928;0.252790477;0.09238636;2.736231604;0.006214727;0.551577838;Pval<0.1
Ass1;176.1483227;-0.384989714;0.204144253;-1.885870935;0.059312349;0.999862907;Pval<0.1
Astn1;93.57082826;-0.737782304;0.278122824;-2.652721173;0.00798458;0.632947115;Pval<0.1
Astn2;87.35408396;-1.069581645;0.336306265;-3.180379779;0.001470822;0.272877066;Pval<0.1
Atcay;10.98542578;1.072984054;0.459853818;2.33331553;0.019631591;0.847111907;Pval<0.1
Ate1;764.5372018;0.153304737;0.079553642;1.927061209;0.053972002;0.999862907;Pval<0.1
Atl2;465.5482047;0.220682627;0.119857838;1.841203144;0.065591795;0.999862907;Pval<0.1
Atoh8;364.1124389;-0.274885957;0.13292356;-2.068000264;0.038639998;0.973156856;Pval<0.1
Atp23;116.8332124;0.349908067;0.198227499;1.76518429;0.077532798;0.999862907;Pval<0.1
Atp6v1c2;22.33933433;0.875022461;0.3873987;2.258712952;0.023901246;0.90150104;Pval<0.1
Atp6v1d;828.3333342;0.193440943;0.116730961;1.657151981;0.097488752;0.999862907;Pval<0.1
Atp6v1e1;1004.645431;-0.174449898;0.094517907;-1.845680928;0.064938548;0.999862907;Pval<0.1
Atp7a;178.2529778;-0.300270962;0.163662875;-1.834691968;0.066551343;0.999862907;Pval<0.1
Atp8b1;251.3790094;0.423817634;0.130848496;3.238995071;0.001199516;0.238413664;Pval<0.1
Atpaf1;330.8242013;0.22248366;0.123670047;1.799010071;0.072017088;0.999862907;Pval<0.1
Atxn1;37.62903399;0.495739563;0.271829753;1.823713399;0.068195412;0.999862907;Pval<0.1
Atxn2;396.1818296;-0.215246627;0.113156702;-1.90219954;0.057145073;0.999862907;Pval<0.1
Avpi1;790.4201772;0.354392633;0.166528033;2.128125973;0.03332664;0.947193023;Pval<0.1
Axin2;262.6634045;-0.279938811;0.131310083;-2.1318912;0.033015792;0.945431849;Pval<0.1
Azin1;867.5652477;0.27490337;0.162379095;1.692972667;0.09046067;0.999862907;Pval<0.1
B3galt5;3.865674357;2.357527187;1.080763437;2.181353574;0.029157275;0.925578554;Pval<0.1
Baiap2;443.5832347;-0.253738134;0.113828156;-2.229133315;0.025805036;0.919371398;Pval<0.1
Baz1a;174.66548;0.283386886;0.136077102;2.082546457;0.037292584;0.968985643;Pval<0.1
Baz2b;914.2053606;0.227552235;0.135030257;1.685194417;0.091951068;0.999862907;Pval<0.1
Bcar1;913.7230529;-0.231885224;0.108121182;-2.144678951;0.031978525;0.944125075;Pval<0.1
Bcas1;166.6964816;-0.515377787;0.235108277;-2.192086957;0.028373228;0.925578554;Pval<0.1
Bcl2l11;198.5008456;0.35363606;0.20938678;1.688913026;0.091236099;0.999862907;Pval<0.1
Bcl7b;482.4691338;-0.181377491;0.094376001;-1.921860325;0.054623335;0.999862907;Pval<0.1
Bclaf3;124.8313832;0.436669831;0.160080737;2.727809981;0.006375632;0.555630415;Pval<0.1
Bcor;289.6243461;0.258843862;0.133365746;1.940857158;0.052275606;0.999862907;Pval<0.1
Bcs1l;260.4007411;-0.232846083;0.123638204;-1.883285866;0.059661638;0.999862907;Pval<0.1
Bfsp1;17.00556261;0.841531497;0.412065835;2.042225842;0.041129134;0.98354327;Pval<0.1
Blvrb;376.7765909;-0.240988725;0.136708889;-1.762787532;0.077936331;0.999862907;Pval<0.1
Bmp7;155.20455;-0.544474001;0.258947302;-2.102644037;0.035496897;0.956677396;Pval<0.1
Bnip3l;2065.366553;0.178314566;0.099630522;1.789758414;0.073492757;0.999862907;Pval<0.1
Bpifb5;24.21612195;-1.144039494;0.382911904;-2.987735517;0.002810527;0.382892732;Pval<0.1
Brix1;476.2971929;0.200610998;0.102503605;1.957111625;0.050334346;0.999862907;Pval<0.1
Btbd7;94.40175332;0.281790469;0.158077327;1.782611554;0.074649558;0.999862907;Pval<0.1
Btf3l4;242.8447288;-0.192012446;0.109209003;-1.758210772;0.078711653;0.999862907;Pval<0.1
Btrc;813.8407394;0.163289638;0.089949805;1.815341763;0.069471405;0.999862907;Pval<0.1
C1d;556.1968197;0.24231657;0.138750598;1.746418202;0.080738309;0.999862907;Pval<0.1
C4a;2178.906461;-0.639677424;0.341327384;-1.874087619;0.06091835;0.999862907;Pval<0.1
C4b;605.9346997;-0.764186864;0.259287648;-2.947255182;0.003206085;0.424382829;Pval<0.1
C4bpa;4.047092796;-1.845940833;0.955086194;-1.932747896;0.053267262;0.999862907;Pval<0.1
C4bpb;2.909070839;-2.046004;1.06508696;-1.920973664;0.054735028;0.999862907;Pval<0.1
C7;4341.012561;-0.543192424;0.238572339;-2.276845785;0.022795436;0.896918133;Pval<0.1
Ca12;25.15691936;0.963753734;0.50934183;1.892155087;0.05847032;0.999862907;Pval<0.1
Ca13;26.74203724;-0.920056131;0.388283806;-2.369545465;0.017809965;0.83856249;Pval<0.1
Ca3;9506.878977;-0.310611;0.176569155;-1.759146431;0.07855264;0.999862907;Pval<0.1
Cabin1;532.5243647;-0.206543283;0.122157747;-1.690791512;0.090876629;0.999862907;Pval<0.1
Cadm1;411.3238067;-0.267815172;0.154630078;-1.731973333;0.08327831;0.999862907;Pval<0.1
Cadm3;115.6668711;0.430291964;0.222109528;1.937296285;0.052709136;0.999862907;Pval<0.1
Calr4;12.49629205;1.200475957;0.549550874;2.184467379;0.028927922;0.925578554;Pval<0.1
Capza2;1940.639146;0.200582315;0.098668948;2.03288186;0.04206446;0.98354327;Pval<0.1
Car1;9.035456305;-1.040140858;0.549799684;-1.891854229;0.058510406;0.999862907;Pval<0.1
Carmil1;319.7776202;0.297095266;0.150433891;1.97492243;0.048276952;0.999862907;Pval<0.1
Carnmt1;91.25523434;0.35529355;0.188253833;1.887311107;0.059118493;0.999862907;Pval<0.1
Carns1;40.83993998;0.588485648;0.353786059;1.663394111;0.096233571;0.999862907;Pval<0.1
Catsperd;18.03891362;-0.768952071;0.393369659;-1.954782361;0.050608764;0.999862907;Pval<0.1
Cavin1;34360.30199;0.295365312;0.117695873;2.50956389;0.012088035;0.745421633;Pval<0.1
Cavin2;5644.19583;0.217042334;0.128419652;1.69010218;0.091008408;0.999862907;Pval<0.1
Cbln2;171.2575158;0.427100279;0.254463141;1.678436716;0.093261875;0.999862907;Pval<0.1
Cbr3;170.7121705;-0.33275258;0.145676357;-2.284190698;0.022360326;0.894238604;Pval<0.1
Ccdc112;94.25633697;0.407798881;0.237363368;1.718036298;0.085789995;0.999862907;Pval<0.1
Ccdc167;152.993228;-0.297648182;0.165167232;-1.802101896;0.071529375;0.999862907;Pval<0.1
Ccdc17;194.4967873;-0.292855148;0.127411602;-2.298496717;0.021533535;0.87322839;Pval<0.1
Ccdc28b;188.4068245;-0.352976766;0.193530861;-1.823878442;0.068170452;0.999862907;Pval<0.1
Ccdc71;64.44691113;-0.564275551;0.28079903;-2.009535256;0.0444804;0.98354327;Pval<0.1
