output_prefix	name	motif_id	cluster	total_tfbs	WT_mean_score	WT_bound	KI_mean_score	KI_bound	WT_KI_change	WT_KI_pvalue
Dmbx1_MA0883.1	Dmbx1	MA0883.1	C_Dmbx1	8271	0.25227	664	0.25248	677	-0.00192	1.62671E-01
EBF1_MA0154.3	EBF1	MA0154.3	C_EBF1	16719	0.30666	2002	0.30558	2065	0.0112	3.02044E-25
Creb3l2_MA0608.1	Creb3l2	MA0608.1	C_Creb3l2	6844	0.48232	1632	0.48347	1659	-0.02796	9.88250E-42
GMEB2_MA0862.1	GMEB2	MA0862.1	C_Crem	1661	0.46627	381	0.46869	380	-0.06481	7.73616E-51
Nr2f6_MA0677.1	Nr2f6	MA0677.1	C_Nr2f6	17639	0.27023	1635	0.27258	1669	-0.03262	9.65567E-68
TFCP2_MA0145.3	TFCP2	MA0145.3	C_GRHL2	5856	0.31532	752	0.31331	771	0.01592	3.08699E-22
FOXI1_MA0042.2	FOXI1	MA0042.2	C_FOXP3	8842	0.27554	857	0.27737	885	-0.01502	3.39337E-27
Nr2e3_MA0164.1	Nr2e3	MA0164.1	C_Nr2e3	8988	0.29073	993	0.29159	1029	-0.0059	2.68076E-08
JUNDvar.2_MA0492.1	JUND(var.2)	MA0492.1	C_FOSL2::JUND(var.2)	19922	0.36581	3151	0.37061	3293	-0.04416	2.60210E-84
RELB_MA1117.1	RELB	MA1117.1	C_RELB	15859	0.34101	2310	0.33927	2317	0.02028	2.21909E-49
Ascl2_MA0816.1	Ascl2	MA0816.1	C_Myod1	28477	0.33665	4133	0.33512	4158	0.02246	3.12930E-61
HOXD11_MA0908.1	HOXD11	MA0908.1	C_HOXC10	7445	0.2294	479	0.22766	491	0.02728	2.23146E-39
ETV6_MA0645.1	ETV6	MA0645.1	C_ETV4	24202	0.4718	5481	0.47639	5625	-0.09547	2.38343E-119
IRF7_MA0772.1	IRF7	MA0772.1	C_IRF1	25712	0.25202	2110	0.25012	2084	0.02563	2.17958E-60
Bhlha15_MA0607.1	Bhlha15	MA0607.1	C_Atoh1	4038	0.21758	220	0.21818	235	-0.01218	1.24053E-09
TP53_MA0106.3	TP53	MA0106.3	C_TP53	7677	0.30457	911	0.31098	948	-0.0714	2.69565E-82
FOXC1_MA0032.2	FOXC1	MA0032.2	C_FOXC2	23706	0.21926	1471	0.21966	1505	0.006	1.57392E-16
IRF1_MA0050.2	IRF1	MA0050.2	C_IRF1	66113	0.23939	4794	0.23993	4907	-0.00829	1.96387E-41
MAX_MA0058.3	MAX	MA0058.3	C_MNT	7445	0.42555	1542	0.42814	1557	-0.04033	6.19440E-58
MEIS1_MA0498.2	MEIS1	MA0498.2	C_MEIS3	9281	0.28447	906	0.285	937	-0.02075	1.05157E-37
TEF_MA0843.1	TEF	MA0843.1	C_DBP	5616	0.29811	658	0.30113	657	-0.02338	2.36134E-31
E2F7_MA0758.1	E2F7	MA0758.1	C_E2F7	10434	0.32265	1374	0.32166	1404	0.01671	1.92398E-29
FOXF2_MA0030.1	FOXF2	MA0030.1	C_FOXP3	16608	0.24186	1250	0.24302	1310	-0.00237	5.51317E-03
Gata1_MA0035.3	Gata1	MA0035.3	C_GATA6	19592	0.23774	1363	0.23997	1444	-0.00934	8.05633E-23
TBR1_MA0802.1	TBR1	MA0802.1	C_TBX21	12722	0.2548	1090	0.25741	1154	-0.03338	9.31510E-60
ELF1_MA0473.2	ELF1	MA0473.2	C_ELF1	17229	0.51588	4460	0.51671	4534	-0.0517	1.33927E-83
Smad4_MA1153.1	Smad4	MA1153.1	C_Smad4	14478	0.30968	1818	0.31387	1893	-0.04269	1.02685E-71
ZIC1_MA0696.1	ZIC1	MA0696.1	C_ZIC4	16798	0.43945	3699	0.43068	3596	0.05494	3.14495E-86
SCRT1_MA0743.1	SCRT1	MA0743.1	C_SCRT1	11799	0.28054	1166	0.28051	1230	-0.00507	1.56969E-07
NFKB1_MA0105.4	NFKB1	MA0105.4	C_NFKB2	8256	0.39878	1547	0.39471	1574	0.03751	2.79589E-60
PITX3_MA0714.1	PITX3	MA0714.1	C_OTX1	8311	0.26361	743	0.26334	771	0.00929	8.00635E-15
TFAP2Avar.3_MA0872.1	TFAP2A(var.3)	MA0872.1	C_TFAP2C(var.3)	11843	0.45099	2667	0.4443	2671	0.03982	3.81289E-69
Dlx3_MA0880.1	Dlx3	MA0880.1	C_Dlx3	7570	0.24949	584	0.24704	561	0.0339	4.87636E-52
TFAP2B_MA0811.1	TFAP2B	MA0811.1	C_TFAP2A(var.2)	14914	0.41379	2902	0.41031	2891	0.01351	3.35625E-26
NKX2-3_MA0672.1	NKX2-3	MA0672.1	C_NKX2-3	14074	0.27618	1381	0.27853	1413	-0.01869	1.06089E-40
