output_prefix	name	motif_id	cluster	total_tfbs	WT_mean_score	WT_bound	KI_mean_score	KI_bound	WT_KI_change	WT_KI_pvalue
FOSL1_MA0477.1	FOSL1	MA0477.1	C_FOSL1::JUN	32897	0.38166	5976	0.40184	6570	-0.16998	2.64331E-144
HINFP_MA0131.2	HINFP	MA0131.2	C_HINFP	6807	0.59463	2285	0.5729	2218	0.13919	7.38564E-114
ZBTB33_MA0527.1	ZBTB33	MA0527.1	C_ZBTB33	5193	0.6571	1922	0.6333	1862	0.12804	7.09244E-96
FOSJUN_MA0099.3	FOS::JUN	MA0099.3	C_FOSL1::JUN	29812	0.38142	5395	0.40133	5932	-0.16804	6.44987E-145
FOSJUND_MA1141.1	FOS::JUND	MA1141.1	C_FOSL1::JUN	32915	0.38206	5948	0.40221	6542	-0.16886	1.54789E-148
E2F4_MA0470.1	E2F4	MA0470.1	C_E2F6	16760	0.60246	5729	0.58431	5574	0.11696	6.40567E-117
JUNB_MA0490.1	JUNB	MA0490.1	C_FOSL1::JUN	34124	0.3756	6041	0.39576	6662	-0.1718	9.38947E-156
TFDP1_MA1122.1	TFDP1	MA1122.1	C_E2F6	17779	0.61385	6161	0.59697	6021	0.10236	3.09761E-113
FOSL2JUN_MA1130.1	FOSL2::JUN	MA1130.1	C_FOSL1::JUN	30373	0.38358	5534	0.40366	6088	-0.1686	1.88603E-148
NRF1_MA0506.1	NRF1	MA0506.1	C_NRF1	16640	0.72992	7243	0.70509	6994	0.14308	3.03265E-125
